name,place_id,address,city,county,category,lat,lng,website,phone,rating,reviews_count,photo_ref,heat_source,cold_plunge,outdoor,private_rooms,business_status,types,summary,reviews_text,fetched_at
The Outcast Sauna,ChIJ7SdKugoNZ0gR_KdycTfbgMY,"55A Prussia St, Grangegorman, Dublin 7, D07 HXW6, Ireland",Dublin 7,Dublin,Leisure & Fitness,53.3559314,-6.2881991,https://outcastssauna.ie/,,5.0,1046.0,ATCDNfUg0Fnw6bIsM6XyqUUcmJ2x8FuW62rpvVnv6kk9hqdXm9SrSiZ56_OXF7PsS1gbFR0jsyXZx3q7dpZJNGqSfdYSzAegGJP8lGHVver6-FDeLcxYqUr2CXuE6NBZ9woZvh0TMBl0sY9eunyh4MPdOWk-JLZ504YSbdt_BBbccyqGbafO76x_cY_gckB5iB-v3thIeIfAwZwTGKMHcJkvyn6ulc7pDKxHkJTsgxF6vHqJlFrW6VIJe0105lvywtdDLHqAGlL5RUPJqzEY5H_65jIIeQfaQvmw5HOLgcgBGRPEmg,,False,True,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Loved this sauna experience! such a cool, laid-back vibe and super relaxing. Everything was really well done and the sauna felt amazing. Left feeling refreshed and chilled out. Highly recommend and will definitely be back! || amazing experience!! incredibly relaxing environment and super clean facilities as well. great decor too!

first time at a sauna and already ready to come back! || Beautiful sauna experience here! Always clean and friendly people working there. Location is amazing and lovely food court and pub just outside too || I had high expectations based on all the glowing reviews but unfortunately, my experience didn’t quite match the hype. Don’t get me wrong, the female staff were incredibly friendly and welcoming, creating a great first impression and making you want to return. However, whoever is managing the overall operations needs to reassess the maximum capacity.

With nine people crammed into a hot sauna, it felt overcrowded and uncomfortable. Reducing the limit to seven would make a significant difference. The decor and rustic nature-inspired ambiance were well done, but the experience was dampened by the noise level. In the pod we chose, a group was talking loudly, laughing, and shouting which wasn’t the relaxing atmosphere I had hoped for, especially for my first sauna experience (in Ireland).

To make matters worse, when two people left for the plunge baths, seating naturally shifted due to the tight space. When they returned, one of them expected his original spot to still be available and tried to squeeze in, making another guest visibly uncomfortable to the point that she got up and left. His reaction was ‘I didn’t do anything’. 🚩🚩🚩🚩 This situation only highlighted the issue with the overcrowding in these pods.

My partner enjoyed it more once the crowd thinned out after this incident - but for me, it was enough to put me off returning. I did notice they offer Silent Nights and Ladies’ Nights, and I imagine a Silent Night would be a much better option for those seeking a peaceful experience. A safety factor that could be considered in the future are safety toggles, wrapped around the wrist when pressed it alerts the staff to check the pod out. ⚠️ something to ponder on of course. || Always a great experience here. Sauna is nice and hot, plunge is nice and cold. Friendly helpful staff. The barrel sauna has a high enough ceiling that the heat is pleasant. Stop for a coffee and a treat in Pan Eile in the courtyard when you are done. Rafa will look after you.",2026-02-14T09:42:48.674424
The Wood Fired Sauna,ChIJryKHiVsZZ0gRhEW9rvJvw2g,"North Beach Tourist Caravan & Motor Home Park, Rush, Co. Dublin, K56 HN63, Ireland",Co. Dublin,Cavan,Leisure & Fitness,53.5258076,-6.0866269,https://www.thewoodfiredsauna.ie/,,5.0,402.0,ATCDNfWTpTg9vwxszEOaJI9AqStheW1UopAaOud3S-3ItU9YzEdPg4NYRfKMA4y9Q7Smlqs04D0PD4Qr59zkM7kOLsOAckRNH_9OAps4RooCs6pHNBFhrdtNzkqn8RwkUlIOaXNr1nYPU1254oW5pn_-N4v-SrycmgDfoAw9vEqk489Xb9FYWnHu8PTVpm5xyjzjYd6PkVrbDOO3bV0wg7CtTWf8-RAlMfkV3RPje9Ias2F-e85X7_uEn0XiYPLs47Jb_FbDjETBQ7MrKO9Diy1eifehhb5wwwDhz7Yeq7F1NVU6MvK5h4J1NyhTdnOuMJDt1BHZnHI8kIYLEoqx16mWRAG7dq1u12AJF12n_ygqZdIIeNInpSMc3Av3Z_1iBENQMBkP8JpOeVFNAouCDvR-1Y7F6PangO-70lTNGH-WLmk,Wood,True,False,True,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Beautiful sauna , baths , cold plunge - amazing access to beach (we picked a time when the tide was in, so it was brilliant being able to dip into the sea mid sauna session).
Big down side was no changing areas, no sheltered area at all, and one portaloo. It wasnt raining heavily when we were finished up and trying to change out of swim gear, changing out in the open in rain is not ideal. Would be nice to have a small bit of privacy when changing in front of lots of strangers, yikes.
Walk from local car park, so access to car is 5 minute walk away.
Will return, but will allow for lack of changing area. || Great view and setting overlooking the ocean! The wood fired sauna is lovely and big. I didn't try the plunge barrel but the two ice baths are lovely and clean. Great spot for groups or individuals. || Highly recommend visiting the Wood Fired Sauna in Rush.

Each session is 45 minutes which gives you enough time for 3 sauna/plunge cycles. There are 2 ice baths, a barrel plunge, and a private path to the Rush North Beach for when the tide is in.

Fresh running water available and changing rooms are nearby. || Highly recommend this place, fabulous experience, totally invigorating and relaxing at the same time! Always have the best night's sleep after a visit to the Wood Fired Sauna. || Brilliant sauna located in an amazing spot just off Rush North Beach. The sauna is always pipping hot and the staff are lovely. Amazing way to spend a fun and active weekend or just to relax after work on a weekday afternoon. The freezing cold ice baths offer well needed recovery whilst the sauna offers a spot to meet new people and sweat it out!",2026-02-14T09:42:03.985952
Treehouse Sauna,ChIJJZdqNQB_Z0gRPgZmaBGdWSQ,"LIFFEYVALE NURSERIES, Osberstown, Naas, Co. Kildare, W91 F2N0, Ireland",Naas,Cavan,Leisure & Fitness,53.2286121,-6.700801800000001,https://www.treehousesauna.com/,,5.0,389.0,ATCDNfWkc_i21Hn9TF3JoSQzKLvrMI47E4Q4wHarYPZLUw7rLORQpcbvfYT_XfnGSVgP0aClDp9MVchv0UUnXLQbbDnaFaqypjxiJDCXPSaAkuxmMnc8XP5XleAg_TgzLVFFm3cpmQFp-OwHoyWxj0ngAgUaBv2yCD--eLnl-DuN77rx-XNzE1Cm_qOqBq3KbOo2ncz_Qiuyz5e550qKAQQR9r682aLVFOvBfDK3XjBy3tJ_8Ohav88Vy5yhMYvmTS78stTi8s2tNrcxwofzpOKW2ACY_8jjWDFBAhY-PuOmIcl1sARt_JU7gWsl66fUHoCwDmNZ7aDHdBvFmtYDv2AwSx6SxiM9ZC0fruOU45Bv6aXL3C9hkg8UcXoYdtPbvg2ty5cDerQI54GMqMejyn0wC8MojITgFQbH3ICJ8mUp0Qd21_BqkoJ3TU96KMK344z8,Wood,True,False,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Definitely the best sauna setup I've experienced in Ireland. Lovely setting with panoramic windows overlooking the Liffey, all wood, stone and incense - very nice.
A lot of things being done properly here that aren't always done elsewhere in Irish saunas:
- properly hot saunas
- proper warm changing rooms
- Very clean everywhere
- Staff telling patrons to sit on towels and shower between saunas (basic but too many people won't do basic hygiene without being told to).
- properly cold plunge pools
- nice hot jacuzzis

Good value too. Keep up the good work! || Best sauna experience I’ve had in Ireland so far while visiting from Australia.
Option to have a silent or social sauna when booking. The views are amazing of the river and it’s actually cleaned between sessions which is something I haven’t seen much of in Ireland at other saunas.
The cold plunges and jacuzzi are great and the sauna is hot at around 95 degrees celcius. The staff are also welcoming and very clear on instructions when you adrive and tell people to shower after the sauna each time (something else I don’t see much of in Ireland)! Loved my session here.
Highly recommend and can’t wait to visit again. || Five stars doesn't do Treehouse Sauna justice.

Two saunas, two hot tubs, three cold plunges, two cold showers. It has everything you want. It is a little bit out of the way, but it's such great value at the same time.

One of the nicest saunas... actually the nicest sauna I've visited in Ireland. It's so clean, relaxing and aesthetically spot on. Can't recommend highly enough- i will keep on coming back 💯 || Absolutely phenomenal!
We had a magical hour this morning in The Treehouse. We were greeted by a wonderful  warm, friendly member of staff.  The envelopment of the river and surrounds was unreal. The design second to none.
10/10 for quality of sauna and pools. If I lived here I would definitely go on a regular basis. || Such a wonderful place to relax and recharge!
The sauna is always clean, cozy, and perfectly warm. The atmosphere is peaceful, and you can really feel the stress melting away. The staff are friendly and welcoming, and everything is well taken care of. It’s definitely my favorite spot to unwind after a long day — highly recommend!",2026-02-14T09:42:03.909653
Fad Saoil Saunas Dublin,ChIJbQCsUQANZ0gRT4WX7xtbwkA,"Fad Saoil Saunas, Ardee Rd, Rathmines, Dublin 6, D06 FK18, Ireland",Dublin 6,Dublin,Leisure & Fitness,53.32631319999999,-6.2679084,https://fadsaoilsaunas.com/rathmines-sauna/,087 127 5023,5.0,273.0,ATCDNfWrg3-Z7tUxfijkCtUN4C2_myxuRa287lUOk2XSYF-V948oaX4IQQ-aJVTs55K-9Yyi_kGDNe3aBklDxY7XvhyndBlBjBgZEdbZjvUaMN2bcHuo-9g1B-W-eG8ixnTO7hJi8CC-1K45UnMy5gFX7yid1PY6-GjyFJysqZmQs8p-qDbEKb3654OCpuZAZ0BwP_XTkt6cBl6KSjFXsEQTL84zWaaJdjrcWQfx4aGd6H1JjLz0zEjjEC30lHzIKkaaxdL6VxYGpblGY1NGhbGnic4L6occrZRu3SNt1eqqTXrqyA,,True,False,True,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Fantastic experience at Fad Soil Saunas!
Matthew, the lad working there, was absolutely lovely super friendly and really helpful throughout. The dressing rooms were private and well-kept and the saunas themselves were modern and comfortable. Loved the setup with the three plunge pools at 4°C, 6°C, and 8°C perfect for a proper cold exposure session!

A couple of tips: bring a towel to sit on in the sauna and there’s free parking on-site which is a big plus. Highly recommend for anyone looking to unwind and recharge. || 2nd sauna to review in Dublin!

Welcome to Fad Saoil, the sauna home of BMO running club! I was introduced to the sauna because I signed up for the run club’s long run series (and recovery thereafter) in preparation for the Dublin Marathon 2025.

So overall, Fad Saoil is pretty decent for a sauna place. They have 2 hot boxes (1 normal and 1 for silent sauna), 3 cold plunge tub with 3 different temperatures, shower area, changing rooms and a toilet. Fad Saoil can accommodate 16 pax per time slot.

I would say that it is a good value for money both for sauna members and non-members and they have packages for frequent visitors.

Staffs are so nice and accommodating but I won’t suggest to do walk-ins though as Fad Saoil gets busy too. Make sure you book online before visiting. 😂

Definitely visiting again!🙂 || Hands down the best sauna experience I’ve had in Dublin, I was introduced to the place by the BMO running club and have since became a regular both for recovery after runs and just to relax.

The staff is amazing and the vibe is so friendly and welcoming that it feels like someone’s living room. The location is ideal as well when it’s easy to get to (and also accessible to go for a run before your session).

I’m from Finland and grew up going to the sauna several times a week. Since moving to Dublin almost four years ago the thing I miss most has been a proper sauna - with the proper heat, cold plunge and atmosphere to go with it. So glad I finally found this place! || Small, but good setup & clean. 2 saunas on site & 3 cold plunges. This was my first time going there & it didn’t disappoint. There are numerous changing booths but no lockers for your belongings, only shelves to store them on. Would be great to see them get some lockers there for safe storage down the line. Picked up a sauna hat from them for 15 quid on the way out which I will be using on my next visit! || Cute little ""grotto"" tucked in the hustling and bustling of Rathmines.

The saunas are fantastic, they heat up very quick, especially the silent sauna, which you can essentially burn your ears off if you so choose to.

the plunge pool or plunge pods or whatever you want to call them are also really nice, although I wouldn't mind having a larger communal plunge so more people could join.

overall this is a great concept and honestly a fantastic setup that you can have great meetups or experiences with your friends and co-workers or whatever!

also if you can bring your own drinks so that's pretty cool.

I would absolutely go here again, and definitely recommend any of their locations.
apparently their greystones location has a scenery to die for, so I will be checking that out due to my great experience here!

thanks again!",2026-02-14T09:42:49.078707
Saltee Sauna,ChIJv7nkc2ajQkgRIsuQ0I-Rsu4,"Crossfarnoge, Kilmore Quay, Co. Wexford, Y35 EHC2, Ireland",Wexford,Carlow,Leisure & Fitness,52.1732319,-6.588636999999999,http://www.salteesauna.ie/,,5.0,267.0,ATCDNfUbq7qX-uX05WoKqgLzTxAEgffCBDHPrHGVa5JaiwWbPbfO9eoeyboK85kLIO81VUYEBWys1Gro_Uptcr4sa4vt2pMRZ0QTk_9tB60F7Lw97e0Sif-5XZUofxsMLyDMxPUC28ABQ8bH1KIETeYj_uRORN3wPqk09yiEmzwQmgt6m6tDP7DfEJStXAI0oCMalgThciy2NMsaBHEoDkhw_k8irIZ7rVynzVZTyCqm6yj9p2DMHEtveVePHNAXURbNHPUhYYRFwFvg93nPVAjTi7v7hY248uIpCJ7G_Moxs-7D-A,,False,True,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Such a relaxing experience every time! The sauna is in a great location, so close to the water for a dip. Ideal activity for a small group. The storage & changing rooms are very handy. Also, Conor is very welcoming & helpful. Looking forward to our next visit! || Conor has the sauna experience mastered

Great location, friendly and informative service and sauna with a beautiful view

Can’t wait for return visit || Incredible views from the sauna . Beautiful beach. One of the best outdoor saunas I’ve been in. *photo of the beach not view from sauna || Beautiful setting, really lovely and well maintained sauna. Would highly recommend! || Fabulous sauna - great location, spotlessly clean & great coffee just beside it !",2026-02-14T09:41:46.176427
The Blaze Sauna,ChIJ_4JbbwBzZ0gRuRxb6FB4bPo,"Kirkfield Cottages, Clonsilla Rd, Blanchardstown, Dublin, 15, Ireland",Dublin,Dublin,Leisure & Fitness,53.3829127,-6.4026952,http://theblazesauna.com/,086 841 6516,5.0,201.0,ATCDNfVGBtliQEgrEkRK9nNNMCW0X-VU9x55AWlXhDffHCQbXzmCto5e24ufuB_EKorPR2SokmFHCmggSHgSSrhPLjidF0ngzRJIL37hGcu9LMSLs5iQnMQV-s2XdPeXO7IiYzO-lopoXuJN_Hvk81b56iKyYfBycxKv-icPzVWL6dRHFl1yssXfhyfUywyobirP5nKtitZOg0_5Edn5ZBWZFjEbX_GAXeYBIHXQVUBzU959V--rECUMb5uwoAmli_g_TMOQkWUxPXXVESogrZ4vlkf3Cfm-uRY2q_r0pW17KmAsPA,,True,False,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"I’ve been going to Blaze Sauna in Clonsilla since the very start — nearly five months now — and Jaysus, I think I’m officially addicted.

The cold plunge? It’s like being slapped in the face by a frozen salmon. You jump in, forget your own name, and come out feeling like you’ve been baptised by the Holy Spirit himself.

Fair play, though — it works wonders!
The sauna? Always roasting — hotter than a Dublin bus in July, I swear. Sit in there for five minutes and you’ll be sweating out sins you didn’t even know you had.

Dan, the man himself — sound as a pound. Always up for a chat, keeps the place spotless, and makes everyone feel welcome.

You can tell there’s grá (that’s “love” in Irish!) in every corner of the place.
Honestly, Blaze is a little slice of wellness heaven right here in Clonsilla. Whether you’re in for the health benefits or just trying to survive the ice bath without screaming — you’ll leave feeling like a new person.
Go raibh míle maith agat, Dan — you legend. 🔥❄️

Highly recommend. Just bring a towel, a sense of humour, or your courage and maybe a stiff drink for after the cold plunge! || Lovely evening spent at Blaze Sauna. Nice and very clean. Very nice staff also. Great eve overall, will be back || First experience here was absolutely fantastic, the host is really friendly and approachable, the set up is great, really user friendly and tranquil. The sauna itself was perfectly suited for the size of the group. The different temperature tanks were really accessible and kept clean. The cold shower was strong and pressure. Good sized lockers too. I will definitely be booking to visit again. || Great location, easy to get to and fits my sunday 'relax day' plans perfectly!
3 visits later - love that lads keep a higher temperature than the usual 80🥶
Met a friendly staff each time I've been there. || Myself and my sister went in this morning and it was our first time trying a sauna and a could plunge and we loved the experience. The set up was really nice, the changing area was nice and simple but all you need, the sauna itself was great and as were the cold plunges and showers. Overall really nice Saturday morning and we’ll definitely be back soon ! Super friendly staff and really happy to have us and to help with anything we needed. Would really recommend !",2026-02-14T09:42:49.896738
The Sauna Snugg | Garrylucas Beach | Cork,ChIJQ77hre1hREgRuVk5wSRp_K0,"Garrylucas Beach, Garrettstown, Co. Cork, Ireland",Garrettstown,Cork,Leisure & Fitness,51.6399705,-8.5650684,http://www.thesaunasnugg.com/,089 610 3817,5.0,140.0,ATCDNfWlUXCX1kdeYZPinavTnbZ1Rxetro0jebhbHnmQP32B7MLeV9foBAuV3WSgPDgJPtV4pndgwyJzKyIylDKqxwtTFGhSlIyFnCfBZJlGwBXTXWuf-w7gcP4tyI-HVDUWB9_Depu6pGkuUJhCN7oj1PCgqw9QxA73Qp0OxeBXK7sZRKzcrZIm6StLVEWOGdwee7AjzkF1xCuy1kdBJCDlOgRudNX_EUIFmAZbvqMDZDRCHn0nDMo98IKwV-OQgQLUcnkohWaZBqw7_zhhq392BuqkuaNc3fS2ADtyX-wPRjYRuQ,,False,False,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"What a brilliant idea to have a mini sauna capsule right next to the beach! I had an amazing first experience, especially with a few cold dips in the sea in between sauna sessions. The contrast between the hot sauna and the refreshing sea was incredible. I absolutely loved it and would definitely do it again when I’m back in Cork. || If you’re looking for the ultimate sauna experience, The Sauna Snugg is the place to be! From the moment we arrived, the owners treated us like family—so warm, welcoming, and genuinely kind. They’ve truly created something special here.

The sauna itself was spotless, with a cozy and inviting atmosphere that instantly put us at ease. The attention to detail is impeccable, making it clear how much care and pride the owners take in maintaining this haven of relaxation. The ambiance was nothing short of phenomenal, with the perfect balance of tranquility and comfort.

Even the other sauna goers added to the magic of the experience! Everyone was friendly and respectful, fostering a sense of community that made the entire visit even more enjoyable. It was the most relaxing and rejuvenating escape I’ve had in a long time.

If you’re considering a visit, don’t hesitate—The Sauna Snugg is an absolute gem. It’s not just a sauna; it’s an experience that leaves you feeling refreshed, welcomed, and already planning your next visit. Five stars isn’t enough! || Such a gorgeous, cosy set up by the beach. A perfect morning to spend with friends after a refreshing dip in the sea! Couldn’t recommend it more, so wholesome! || I have been going to the Sauna Snug since they first opened their doors over 2 years ago. I have tried numerous saunas around cork and the Sauna Snug is my absolute favorite.  Now with their new larger sauna there is so much room and more availability for booking.  The sauna also has a lovely view of Garylucas beach! They provide water bottles incase you happen to forget and recently added loyalty cards too, which is a nice touch!  Jess and Stephen are always so kind and accommodating and always ensure you have the best experience possible.
I highly reccomend the Sauna Snug ! || The sauna snug is a 10/10 always . The steamy heat paired with the cool ocean breeze provides a unique and invigorating experience. The view of the waves crashing as you relax is simply unbeatable. It's clean, well-maintained, and Steve & Jess  are extremely friendly and helpful. Truly a must-visit ! New sunset sessions are next level too .",2026-02-14T09:42:22.936241
Saunas with Soul Carlingford,ChIJvWnvZ2vXYEgRNC-zGjE2rQY,"Irish Folklore Park, Ghan Rd, Liberties Of Carlingford, Carlingford, Co. Louth, A91 X820, Ireland",Co. Louth,Cavan,Leisure & Fitness,54.0415359,-6.177113299999999,https://www.saunaswithsoul.ie/,087 271 6323,5.0,136.0,ATCDNfW_wuMCuv0XehM_qQ5Jn8ubbAPzQANNoCRX42-PP0ctxjZG727piZDkhh-TZin0x1scfIhWHrSv34MLwX1YdWNl0N4Hgr_4yJjZJmhr1b8hqDLmA5sJcPxRYfun49fP9NfHSgnlY0EScRW3HgpB7oruxMcxnxxcOau6713GizBxdXqD6qqYjxzRV-kSebWnYZl9gEljbFmjfEwdnsVwzT-hlj8vPisBLyluCy9pXBZTChmvmHfuSUSCJ_7gQ0cm5j-YY3qdpyHsUvlmP1bK6TArcEhmhZE1noQVCJF0OM2qVA,,True,False,False,OPERATIONAL,"establishment, health, point_of_interest",,"An amazing sensory experience at Saunas with Soul, Carlingford. The views over Carlingford Lough and the Mournes mountains are to die for , the sauna is spotless and offers incredible views and is plenty hot!
There's a path down to the sea for cold dips and also cold plunge barrels with choice of Seawater, Seawater and seaweed, and freshwater.  There's also a hot and cold shower when required.
Philip, the owner, is a really friendly sound local man and I can't highly recommend this enough. 5 stars all the way. You'll leave refreshed, relaxed and rejuvenated! 🙌 || Had a lovely, peaceful experience here. The view of the Mournes is unbeatable and being able to go for a dip in the sea as the tide was coming in was very special. Philip was very welcoming and working hard to bring everything together on his first weekend opening. Definitely worth a visit! || 1st class experience! The views are amazing. If you prefer not to use the sea the barrels are amazing. This is my 2nd time visiting and will now make it my weekend treat. Phil the owner is so friendly and explains how it all works || Had a brilliant experience at the cold dip and sauna in Carlingford. The owner was incredibly kind and welcoming — he was actually closing up but stayed open especially for us, which we really appreciated. The sauna itself was gorgeous, warm and relaxing with stunning views. Such a lovely, peaceful spot and made even better by how friendly and accommodating the owner was. Would definitely recommend and will be back again. || Great spot with beautiful views from the Sauna. Philip is a great and friendly host and explained everything perfectly. Sauna perfect and excess to the sea very easy. But tjesus what was that water cold.😅 Definitely go back. Great overall experience.",2026-02-14T09:42:04.755841
Sásta Saunas,ChIJTf6wECVxZ0gRMyDOU5nGlgk,"MU Barnhall R.F.C, Parsonstown, Leixlip, Co. Kildare, W23 V56N, Ireland",Co. Kildare,Kildare,Leisure & Fitness,53.349303,-6.5148381,https://www.sastasaunas.ie/,085 171 1517,5.0,128.0,ATCDNfW9k-vfHvEtGCWpPnc33mVYUg781pHDDuYQTY4Jal_ngfPcz7RTAubHnm7jhVYg1OLozAUUu5FDz8LvSzv8a9IUuMLacTJe0dtRC5_bRwrkUxFkpni3lkazgzz9dKekOxufaOpjejhPb5U575DbtOQV6k8PhA4q5_D3ZZXKD5kBni9UaZX44KNQ_B9Ch7GfS8Svth3e4YCynnqOweVhef4o2NdL64nThx9zZ7Vfrqb4xmWbV-F-ac0lbiixolayi_3_IRrD1LsaFVT9sxOMX-U2hNfvPCaPdI46v6lRbJkyog,,False,False,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Really enjoyed the experience at the Sasta Sauna. The lads are really friendly and the sauna itself was lovely. The facilities are great: plunge baths, showers and changing rooms. There’s also ample parking at the Rugby Club (if there’s a match or training this might be trickier!) and bike racks beside the sauna too. Definitely going to be a return customer. || Myself and my husband booked this as part of the charity donation for my l
Lovely Horse. We thought this was a great idea.We were really impressed.
Great facilities and we were offered a drink, which was a nice touch.
We don't live locally but we'll be back and we would defintley recommend this experience to anyone whose looking for some nice relaxation and some re-energising. || Awesome spot. So relaxing. And such a great sleep after, every time.
I'm hooked. Staff are amazing.
It's great to see things like this coming to our door in Leixlip.
🥵🥶🥵😁🥱😴🛌 || One of the better saunas I've been to. Always clean and tidy, the sauna is always hot, and the changing rooms are spacious. The ample parking is helpful, and the chill-out area is a really nice addition you rarely see. || What a fabulous day in Sásta Sauna yesterday. Amazing atmosphere and a brilliant event the team at Sásta Sauna did for My Lovely Horse Rescue on Christmas day! Fantastic facilities and so welcoming. Will be back, thanks so much!",2026-02-14T09:43:41.943268
Urban Sauna Co,ChIJDXdZjwxdZ0gRXQN4Xiyl3HA,"MDL Grounds, Trim Rd, Philpotstown, Navan, Co. Meath, C15 AK5V, Ireland",Navan,Cavan,Leisure & Fitness,53.62130819999999,-6.6887748,https://www.urbansaunaco.com/,085 844 5737,5.0,111.0,ATCDNfWP_hNMjsXQrJqPqCdDjYlXKgT3iAbBNEOJ9sddPzmHsheb0z7__4SRxTwIh2pvajY0HPgNtdFgEes9Wq7-u1-DT-04TuPBwISKGfs5vg4Xehm7_9HXSM83U_7PxAdCGAih-gxM3sBikSNg9hvbJVn6yQzTx9rH1mqTh09fVqwj1NgZhofuDO0Nx1v9V65bbHvIj_Ipw_ri8t1XkDdw40dmoKsyM_BUilb7MExZUExTj84IcAYkUPOieUuZL474ipSM8YqbZjn-HnjpAD2SXqcQ8Lnp5JqLHhoEKqRvrsB3cw,,True,False,False,OPERATIONAL,"establishment, health, point_of_interest, spa",,"Great facility! The sauna was very clean and well-maintained. It was a comfortable and enjoyable escape . Absolutely loved it! My muscles felt so loose and I walked out feeling revitalized. Five stars—I'll be back soon! || Gorgeous sauna and cold plunges. Great changing rooms with 2 privacy cubicles, toiletries and lots of space. Brilliant value for money, especially off peak times and a really lovely experience, highly recommend! || Brilliant spot to relax and recharge! The sauna is always at the perfect temp, and the cold plunge is great. Very clean, chill atmosphere, and really friendly staff. Can’t recommend it enough! || I had an amazing experience at this sauna and cold plunge facility.

The space is exceptionally clean and beautifully maintained, creating the perfect environment to unwind and recharge. The sauna was soothing and the cold plunge invigorating.. a fantastic combination for both body and mind.

What truly sets this place apart is the staff and how easy it is to book. They were incredibly friendly, welcoming, and attentive throughout my visit, making the whole experience even more enjoyable.

Highly recommend for anyone looking to relax, recover, or simply treat themselves to a bit of wellness! || Great sauna after a long day! And staff are lovely too, will deffo be back!",2026-02-14T09:41:51.978218
