name,place_id,address,lat,lng,website,phone,rating,reviews_count,types,summary,reviews_text
The Outcast Sauna,ChIJ7SdKugoNZ0gR_KdycTfbgMY,"55A Prussia St, Grangegorman, Dublin 7, D07 HXW6, Ireland",53.3559314,-6.2881991,https://outcastssauna.ie/,,5.0,1046.0,"establishment, health, point_of_interest, spa",,"Loved this sauna experience! such a cool, laid-back vibe and super relaxing. Everything was really well done and the sauna felt amazing. Left feeling refreshed and chilled out. Highly recommend and will definitely be back! || amazing experience!! incredibly relaxing environment and super clean facilities as well. great decor too!

first time at a sauna and already ready to come back! || Beautiful sauna experience here! Always clean and friendly people working there. Location is amazing and lovely food court and pub just outside too || I had high expectations based on all the glowing reviews but unfortunately, my experience didn’t quite match the hype. Don’t get me wrong, the female staff were incredibly friendly and welcoming, creating a great first impression and making you want to return. However, whoever is managing the overall operations needs to reassess the maximum capacity.

With nine people crammed into a hot sauna, it felt overcrowded and uncomfortable. Reducing the limit to seven would make a significant difference. The decor and rustic nature-inspired ambiance were well done, but the experience was dampened by the noise level. In the pod we chose, a group was talking loudly, laughing, and shouting which wasn’t the relaxing atmosphere I had hoped for, especially for my first sauna experience (in Ireland).

To make matters worse, when two people left for the plunge baths, seating naturally shifted due to the tight space. When they returned, one of them expected his original spot to still be available and tried to squeeze in, making another guest visibly uncomfortable to the point that she got up and left. His reaction was ‘I didn’t do anything’. 🚩🚩🚩🚩 This situation only highlighted the issue with the overcrowding in these pods.

My partner enjoyed it more once the crowd thinned out after this incident - but for me, it was enough to put me off returning. I did notice they offer Silent Nights and Ladies’ Nights, and I imagine a Silent Night would be a much better option for those seeking a peaceful experience. A safety factor that could be considered in the future are safety toggles, wrapped around the wrist when pressed it alerts the staff to check the pod out. ⚠️ something to ponder on of course. || Always a great experience here. Sauna is nice and hot, plunge is nice and cold. Friendly helpful staff. The barrel sauna has a high enough ceiling that the heat is pleasant. Stop for a coffee and a treat in Pan Eile in the courtyard when you are done. Rafa will look after you."
The Wood Fired Sauna,ChIJryKHiVsZZ0gRhEW9rvJvw2g,"North Beach Tourist Caravan & Motor Home Park, Rush, Co. Dublin, K56 HN63, Ireland",53.5258076,-6.0866269,https://www.thewoodfiredsauna.ie/,,5.0,401.0,"establishment, health, point_of_interest, spa",,"Beautiful sauna , baths , cold plunge - amazing access to beach (we picked a time when the tide was in, so it was brilliant being able to dip into the sea mid sauna session).
Big down side was no changing areas, no sheltered area at all, and one portaloo. It wasnt raining heavily when we were finished up and trying to change out of swim gear, changing out in the open in rain is not ideal. Would be nice to have a small bit of privacy when changing in front of lots of strangers, yikes.
Walk from local car park, so access to car is 5 minute walk away.
Will return, but will allow for lack of changing area. || Great view and setting overlooking the ocean! The wood fired sauna is lovely and big. I didn't try the plunge barrel but the two ice baths are lovely and clean. Great spot for groups or individuals. || Highly recommend visiting the Wood Fired Sauna in Rush.

Each session is 45 minutes which gives you enough time for 3 sauna/plunge cycles. There are 2 ice baths, a barrel plunge, and a private path to the Rush North Beach for when the tide is in.

Fresh running water available and changing rooms are nearby. || Highly recommend this place, fabulous experience, totally invigorating and relaxing at the same time! Always have the best night's sleep after a visit to the Wood Fired Sauna. || Brilliant sauna located in an amazing spot just off Rush North Beach. The sauna is always pipping hot and the staff are lovely. Amazing way to spend a fun and active weekend or just to relax after work on a weekday afternoon. The freezing cold ice baths offer well needed recovery whilst the sauna offers a spot to meet new people and sweat it out!"
Helios Sauna,ChIJ_WFLOuUJZ0gRmPe23COSzwo,"4 Main St, Dundrum, Dublin 14, D14 V977, Ireland",53.2916129,-6.245410300000001,https://heliossauna.ie/,085 167 8145,4.9,1051.0,"establishment, health, point_of_interest",,"Perfect place to relax,like a haven, hot tub perfect!! And tried iced bath for the first time in long time feels refreshing and great! And good quality coffee.
One suggestion,time went too fast,maybe time could be extended to 1h :) || Really nice setup, two large saunas, multiple cold plunge barrels, a cold plunge pool at 3 degrees, and a hot tub. Coffee dock with some nice pastries too, and a really relaxed atmosphere - i really enjoyed this place - 100% recommend 👌 || Lovely sauna / plunge / hot tub experience. All the staff were so helpful, was my first time there so was really nice of them to take the time to show us around. Will definitely be back again || Stopped by for some coffee and treats. Did not try the sauna. Service was excellent and coffee was delicious. The croissant was a ok, probably would try something different next time. Lovely location in a nice day! || 31st Finnish sauna review. These saunas are both great. Temperature was a minimum of 90c entire time, ranging up to 110c. Wood fired was 110c down to 90c, electric was a flat 105c. Humidity was 10% in both.

IMO the ash pan in the wood fired stove was kept open way too long and a bunch of the heat was being lost as the timber was being burnt through too often, leading to inconsistency.

Feedback to help with the culture; tell people when they attend to go in/out quickly and don’t keep the door open. Too many people didn’t seem to know about the importance of the door lot of good heat was lost.

The bucket and ladle in the electric sauna could/should be upgraded from plastic to wooden - hot plastics are bad.

The bench height in the electric sauna was perfect, law of löyly maintained. Also the first time seeing the rounded rocks in person. They do give off a smoother löyly, which is lovely. That combination has that experience being one of the most perfect saunas I’ve visited. With the rocks hot as they were the lämpömassa was on point, unlike others. This was a sauna I didn’t want to leave. The wood fired sauna’s temperature was variable based on how the fire was being fed, combined with the ash pan being open and it was a bit more hit and miss. Combined that with sitting a bit lower (law of löyly not observed) and it didn’t quite pack the same punch. Still a good experience, but not next level like the electric. The electric was the star of the show! Both heaters were Harvia heaters so quality.

The cold plunges were spot on, the coldest bath felt close to 0c and there was around 4-5 other baths with different temperatures.

Would love a warm shower to heat up afterwards before heading out, but that doesn’t take away from the experience. Will be back when next in Dublin. Thank you!"
The Hot Box Sauna Inchicore,ChIJ2cdvoJwNZ0gRwDtfnNQo87o,"Goldenbridge Industrial Estate, Tyrconnell Rd, Inchicore, Dublin, D08 EWK2, Ireland",53.33566769999999,-6.3246277,https://thehotboxsauna.ie/,(01) 912 8276,4.9,477.0,"establishment, health, point_of_interest, spa",,"Wow, what a fantastic experience, just a hop, skip, and a jump from Black Horse LUAS! Parking can be a bit of a challenge, so it’s best to hop on the 13 from the city, Clondalkin, or the LUAS.

The €19 for an hour is totally worth it! It’s a super enjoyable experience, especially with the saunas being regularly topped up with wood. The other patrons there are also lovely and enjoying the facilities. If you’re feeling adventurous, the coldest plunge is definitely your only question! || First time visiting here the other day and I will definitely be back! The space is big enough to cater to quite a large group of people without it feeling over crowded. The saunas and women’s changing areas were really clean and well kept, and they have a dryer for your bathing suit which is so handy!! One of the saunas also had a eucalyptus scent which was gorgeous. || It was my our second time to be here and it gets better and better. It was a fine sunny weather, but it made the experience better. We were able to maximize all the saunas, nice temperature. Clean facilities, nice staff, very cozy environment. Will definitely be back. || Absolutely 5 stars for Hot Box Inchicore! I've been to a lot of saunas, but this one is hands down the best. The variety of sauna styles is incredible — there's even a silent sauna which I loved for total relaxation. The three different plunge pools are amazing: one icy cold, one mild, and one that feels like a hot tub – perfect for whatever vibe you’re after. The place is spotless, so well maintained, and the staff are genuinely some of the friendliest I’ve met. You can really tell they care. Highly recommend for anyone looking to unwind, reset, and feel amazing after! || Fantastic location with 5 different saunas and a walk-in plunge pool. The saunas are a mix of wood fire and electric and there’s a silent sauna for some peace and quiet. Facilities are were very clean and the staff are really friendly. Would highly recommend! Will definitely be back"
Fad Saoil Saunas Dublin,ChIJbQCsUQANZ0gRT4WX7xtbwkA,"Fad Saoil Saunas, Ardee Rd, Rathmines, Dublin 6, D06 FK18, Ireland",53.32631319999999,-6.2679084,https://fadsaoilsaunas.com/rathmines-sauna/,087 127 5023,5.0,259.0,"establishment, health, point_of_interest, spa",,"Fantastic experience at Fad Soil Saunas!
Matthew, the lad working there, was absolutely lovely super friendly and really helpful throughout. The dressing rooms were private and well-kept and the saunas themselves were modern and comfortable. Loved the setup with the three plunge pools at 4°C, 6°C, and 8°C perfect for a proper cold exposure session!

A couple of tips: bring a towel to sit on in the sauna and there’s free parking on-site which is a big plus. Highly recommend for anyone looking to unwind and recharge. || 2nd sauna to review in Dublin!

Welcome to Fad Saoil, the sauna home of BMO running club! I was introduced to the sauna because I signed up for the run club’s long run series (and recovery thereafter) in preparation for the Dublin Marathon 2025.

So overall, Fad Saoil is pretty decent for a sauna place. They have 2 hot boxes (1 normal and 1 for silent sauna), 3 cold plunge tub with 3 different temperatures, shower area, changing rooms and a toilet. Fad Saoil can accommodate 16 pax per time slot.

I would say that it is a good value for money both for sauna members and non-members and they have packages for frequent visitors.

Staffs are so nice and accommodating but I won’t suggest to do walk-ins though as Fad Saoil gets busy too. Make sure you book online before visiting. 😂

Definitely visiting again!🙂 || Hands down the best sauna experience I’ve had in Dublin, I was introduced to the place by the BMO running club and have since became a regular both for recovery after runs and just to relax.

The staff is amazing and the vibe is so friendly and welcoming that it feels like someone’s living room. The location is ideal as well when it’s easy to get to (and also accessible to go for a run before your session).

I’m from Finland and grew up going to the sauna several times a week. Since moving to Dublin almost four years ago the thing I miss most has been a proper sauna - with the proper heat, cold plunge and atmosphere to go with it. So glad I finally found this place! || Small, but good setup & clean. 2 saunas on site & 3 cold plunges. This was my first time going there & it didn’t disappoint. There are numerous changing booths but no lockers for your belongings, only shelves to store them on. Would be great to see them get some lockers there for safe storage down the line. Picked up a sauna hat from them for 15 quid on the way out which I will be using on my next visit! || Cute little ""grotto"" tucked in the hustling and bustling of Rathmines.

The saunas are fantastic, they heat up very quick, especially the silent sauna, which you can essentially burn your ears off if you so choose to.

the plunge pool or plunge pods or whatever you want to call them are also really nice, although I wouldn't mind having a larger communal plunge so more people could join.

overall this is a great concept and honestly a fantastic setup that you can have great meetups or experiences with your friends and co-workers or whatever!

also if you can bring your own drinks so that's pretty cool.

I would absolutely go here again, and definitely recommend any of their locations.
apparently their greystones location has a scenery to die for, so I will be checking that out due to my great experience here!

thanks again!"
The Sea Sauna,ChIJB-ntZ1sbZ0gR9AjAZ7yc6Pk,"Tower Bay Beach Car Park, Quay, Portrane, Co. Dublin, K36 RX92, Ireland",53.4891458,-6.099067799999999,https://www.theseasauna.ie/,,4.8,193.0,"establishment, health, point_of_interest, spa",,"Visited Sauna Donabate on Sunday and honestly… magical. I went on my own and ended up having such a deeply emotional and grounding experience, especially in the ice bath. There was something incredibly powerful about this space, the heat, the sea air, and then surrendering to the cold. I left feeling lighter, clearer, and so grateful. Highly recommend to anyone—whether you come alone or with others. ✨ || What a great experience! The sauna itself offered beautiful views, and there were even cold water barrels outside for a refreshing dip. Just a heads-up, no phones are allowed inside.
The changing room is open to all, so definitely come prepared with your swimsuit under your clothes. Afterwards, there's a coffee truck right outside for drinks and snacks, which is super convenient."" || We went to the Sea Sauna for the first time today and would highly recommend it! Location is stunning, there’s a lovely cliff walk with gorgeous views,a quiet beach great for swimming and a llthe carriage truck that does great food and coffee!

The sea sauna set-up itself is great- a really clever use of what is a small space, looking forward to seeing it expanded in the future!

Robin, the staff member on-site was fantastic, super knowledgeable, approachable and friendly which was great for us as non-regular sauna users! She was really on-top of keeping the saunas, plunge barrels and showers clean and at the right temps!

The box sauna itself was really enjoyable, clean, spacious and at a consistent temp. The view is the best I’ve seen from a Dublin sauna! The showers and plunge barrels are well located, and although they can be busy we didn’t ever have to queue for more than 2 minutes for either.

The beach is a 3/4 minute walk away and is a lovely swim spot. There are a good few steps down and *lots* of seaweed on the shoreline but still, a fantastic place to go in between sauna sessions!

Lovely chill place to spend a Saturday morning/ afternoon and we will absolutely be back! || I had a wonderful experience at the sauna.
The staff were really friendly, especially Robin she was exceptionally kind and helpful. The atmosphere was relaxing. I can definitely recommend this place. || Fantastic place, really relaxing. Amazing views from the sauna. Owners keep them very clean and are super helpful, highly recommended."
Saunos Ballsbridge,ChIJH9Q3TCMPZ0gRYgeA-a0UBY0,"Ailesbury Grove, Ballsbridge, Dublin, D04 HF60, Ireland",53.32131889999999,-6.2283604,https://www.saunos.ie/,083 031 0248,4.9,32.0,"establishment, health, point_of_interest, spa",,"We had a wonderful experience with Saunos! The sauna was clean, well-maintained, and had a very relaxing atmosphere. The temperature was just right, and the interior design created a cozy and peaceful vibe. The staff was friendly and helpful, making sure everything was perfect during our visit. I left feeling refreshed and recharged. Highly recommend Saunos to anyone looking for an outdoor sauna experience! || This sauna is great! Super easy to get to and the atmosphere is peaceful and inviting, with a warm, cozy, wood-fired aesthetic.

The team is genuinely kind and attentive and it's very clean. The sauna is super hot and feels amazing, and the ice baths are sharp, refreshing, and incredibly revitalizing. Can't wait to come back! || Great Sauna in Dublin and lovely welcome from the owner. If you are looking for resourceful and healthy activities to do the weekend. That’s the things to do after your working week :) Quality and social spa. || I've visited twice. The facilities are cozy, and the sauna maintains a comfortable temperature of 90–100°C. However, the plunge pool area is limited, only three baths, which isn't sufficient when there are 6 to 8 people. The 45-minute session feels too short for plunging, as you often have to wait your turn. Also, there are no essential oils in the water buckets, which is a missed opportunity, especially since most saunas in Ireland overlook this detail. || Fabulous sauna. Excellent temperature at 100 degrees, tubs are nice and cold. Good location and lots of parking. Completely perfect"
The Hot Box Sauna Bolands Mills,ChIJ897YSDgPZ0gRzXWYEnugVmU,"unit 7 building 2, Bolands mills, Barrow St, Dublin, D04 KA9P, Ireland",53.34150229999999,-6.237063699999999,https://thehotboxsauna.ie/,(01) 912 8276,4.9,55.0,"establishment, health, point_of_interest, spa",,"When we first came to The Hot Box Sauna Sona, we’re huge sauna lovers and honestly expected it to be an outdoor sauna. So, out of habit, we brought towels, big robes, everything to keep warm. You can imagine our surprise when we discovered it’s actually an indoor sauna — modern, stylish, and incredibly well designed.

And the cherry on top: every two hours they host different sauna rituals, which makes the experience even more special and immersive. We absolutely loved it. We’ve already been three times in January, brought friends along, even bought a gift voucher for my nephew — and we’re planning to get a membership for ourselves too.

Safe to say, we’re beyond happy with this place. Highly, highly recommended! || Great central location, pristine state of the art facilities and super friendly staff. I stayed for one of the guided ritual sessions and it was absolutely fantastic, you can tell the guides are really passionate about what they do. Will definitely be back || Wow is all I can say after experiencing the new facility at Bolands Mill. I took part in one of the rituals with a guest expert from New York and it really took the experience to a new level. I slept so well last night. It is a bit more expensive than the other saunas but you get so much more - complimentary herbal teas, cold water, towels and to top it all a hot shower afterwards with amazing shampoo/conditioner and body wash and then Dyson hairdryers . Cannot recommend highly enough. Keep up the good work lads || Had an amazing experience at Hot Box Sauna, Boland Mills. The sauna ritual with Otis was the highlight — expertly guided, calming, and incredibly restorative. Otis creates such a welcoming, focused atmosphere and clearly knows his craft.

The facilities are excellent: modern, spotless, and very well maintained, with cleanliness at a really high standard throughout.

Brilliant value for money for the quality of the experience. Highly recommend and will definitely be back 🔥🧖‍♀️ || An absolutely brilliant experience. Special mention to Otis and Maria. Maria’s aufguss ritual was exceptional, honestly worth the visit for that alone. The staff were all incredibly friendly and welcoming, the place is immaculately clean, and the atmosphere is calm and restorative. It felt like a real treat on a cold, rainy winter’s night. Everything you could possibly want in a sauna. Highly recommended."
The Barrel Sauna Dundrum,ChIJF4bmDUYJZ0gRde4vr_XyUdM,"Rear of Uncle Tom's Cabin, Dundrum Rd, Dundrum, Dublin, D14 W895, Ireland",53.2952936,-6.246705,https://www.thebarrelsauna.ie/,083 880 6043,4.9,71.0,"establishment, health, point_of_interest, spa",,"5 stars! From the moment you step into the Barrel Sauna in Dundrum, you're greeted with the calming scent of incense and beautiful zen artwork that sets the tone. The seating areas are super comfy and perfect for relaxing before or after your session. The saunas themselves are stunning, and the cold barrels—while intense—are totally bearable and so worth it. Just remember to breathe! All in all, a truly special and peaceful space. Highly recommend for anyone needing a reset. || We go here about once a month for a early sauna. The place is always spotless and well laid out, with a properly hot wood-fired sauna and plenty of cold-plunge pools to choose from. Everything felt spacious, from the main areas to the large relaxation spaces. The changing rooms are clean, and there are lockers available -  just remember to bring your own lock.

The staff are always friendly and welcoming. There are lots of chill-out areas to unwind between sauna sessions.

Parking was easy, and the overall value for what you get is excellent. Really worth a visit. || Simply the best sauna - the entire vibe here is relaxed and very well run. Changing facilities are excellent and there’s loads of space to unwind after || Great experience. The area is spacious and sheltered and the Staff are very welcoming. Price is decent. Plenty of options for cold plunges ranging in temperatures and lovely artwork in that area. Lockers are provided for belongings with your own padlock and car parkings available right outside. || Top class sauna and plunge pool experience!
Really great facilities and exceeded expectations.
Will definitely be back!"
Sauna Heaven,ChIJ7dJHt-JxZ0gRvpD1eICWYj4,"The Village Store, Main St, upper, Newcastle, Co. Dublin, D22 XV50, Ireland",53.300042,-6.5035111,https://www.instagram.com/saunaheaven?igsh=MXA3ZW10Z2N1aGlpdA==,087 102 1773,5.0,32.0,"establishment, health, point_of_interest, spa",,Great experience. Ive been a few times now. Staff are very helpful. || Fantastic experience! Great place and highly recommend. || Lovely experience I will recommend to my friends || Fantastic experience well worth it || What a place! Staff are lovely. Was a great experience. Will definitely be back again.
