name,place_id,address,county,lat,lng,website,phone,rating,reviews_count,photo_ref,types,summary,reviews_text
Sol Sauna,ChIJAdE8VjZnXUgRJJUdNEzsdRk,"Strawhall Industrial Estate, Strawhall, Carlow, R93 RX88, Ireland",Carlow,52.8447735,-6.9223842,https://solsauna.ie/,,5.0,92.0,AcnlKN1hF0ZZWWOQYeOwAFADYeUQ4ZQN_v5THwH6jSG7A2fY6-9eaBSbwXBbU3JKOY55nP7wFgRzIBJcdAmV0l_Ti2d1BXp4OGPs1DEjh7FQuQUsYq5VMZSPJZq9MAdcXv_kvDv_FoSTGuBIsKbqOrfzi5zGm77_RG-iIbUDajuMe_kRCnIUh9MneaFgELoAEMYMFYVBMDaGPHBcS9BnAYsObDKIyz4M10TtF11zDDqTHSOw0WvBvswmUad5-4BIvJ9W41_hXhVqFTP4-Lh9wAwSg05HitVSF_ty0On2SwaV9JQ87w,,,"Fabulous Sauna, really spacious and very clean, the hot tub is a great bonus, staff are so lovely too! I’ll definitely be back || This place is wonderful, we're very happy: the sauna is just hot enough to stay there for a long time. The outdoor jacuzzi is an incredible solution, but it's a shame there's only one. We really enjoyed everything, and we'll recommend this place to our friends. || An excellent new Sauna and Cold plunge experience that has just opened in Strawhall Carlow.

Really well organised - two large saunas that have their entry times staggered

The place was full but never felt busy or crowded

Large amount of individual changing rooms and storage. Hair dryers are a nice addition also.

Very large cold plunge tank. And a good size hot tub. (Both were checked by staff for PH balance when I was there)

The saunas are very spacious and were at a high but good temp.

5 stars - next visit booked already || Amazing place so spacious and clean! Sauna and ice bath so roomy. Definitely worth going 🤩 || I had an excellent experience doing the sauna thanks to Aoife. She was very friendly and it’s a relaxing atmosphere. Highly recommend this sauna"
Woodfield sauna,ChIJjaxUGdNpXUgR04F60Y6chlo,"highfield house, strand road, Ballickmoyler, Carlow, Co. Laois, R93 E6F4, Ireland",Carlow,52.86562319999999,-7.0256761,https://woodfieldsauna.com/,083 861 6882,5.0,37.0,AcnlKN0sbZxfDme7tPthCakhGhFAr0gAJN68sIMvXyCTqg-VZlpYk47SgHQpPm1nYMtxm8hVqK-FNLSbF9NWwX87acdCYRc34PMHcBGQvhe0oKk_aR3pREyop4LhltUgyKN1YYpWDKxeOMznIJDxwpI1ocMPhVQIzZGXGU3Ou-jOPAZHVcbqiAsJrDmkqp2yoULc-_qDnl_JGPbAz1IXJU_5cmOYwUnDWe3QTUawZtrC_jn7iOz7_mga336652MngQnPxFVtZTjSsVGLPX4kh-pYTCJXFAeC38jycoP0WF42ijoaOBwoNA8S4sI7f0NunxfuuOThyX9G3A5HtAP5c1gC93dUoeppU44PytlQncHEqnzYDmdUhZ9fcKcyQOEb1u-Ab-oiL_ULrOi-mA4TXS_b6M0JLnneZjf4k-wZlodjMIXKDZA,,,"This is a little gem sauna setup. Set in an abundant woodland area with a stream for cold plunge contrast, which makes it a truly unique experience. Fionn met me as I arrived and explained the lay of the land. The sauna wood fire was kept to a high temperature, very clean and comfortable. Give yourself 15 minutes from your car to the dressing room and back and don’t be in a rush. Looking forward to seeing this business develop with breathwork & yoga retreat offerings in the future. An opportunity to complete immerse yourself in nature. Highly recommend. || The experience offered @ Woodfield Sauna is second to none. The host is very friendly, professional, a sign of things to come when you arrive @ the sauna. Return customer for sure ✨ || I was here last week and loved it. The place is beautiful. The whole experience felt relaxing, I especially loved the river dip/plunge. Sauna was spotless and a great temp. Very scenic location. All in all 10/10 || A fantastic gem of a sauna set in lovely natural woodland - its wood-fired, with a lovely little stream option as a cold plunge. Very relaxing experience and a,reset for body and mind😁 || One of the most relaxing blissful afternoons I’ve had. Set by a beautiful stream in a lovely wooded area of co Laois. Really lovely experience."
Valhalla Saunas,ChIJxSwxZkRDXUgRnbz3e43uPTY,"Milford, Carlow, Ireland",Carlow,52.7820289,-6.9664809,https://valhallasaunas.ie/,086 170 4153,4.7,20.0,AcnlKN19W8XNZnoT63L54d6nCM_KHQJkAKsutcZKEYBKu7UPhOGlSk39upz-vMby4LGNx2PX4iR8WsEbzjlDKAXpfGUX3qJtMZKPp4-HYv0K5CxBV9FucW9qFFusTEU_NXSxj6h_aXpBeXK5Y3jvJaE6iG7DcxlmIzbj8cKrM-Wtdz5rWfyWMO0ssxShPyM_oj9tp-MM4MT9oM5V7m3LtY1MB7_7b0xMZj7Qis_NtgODA7CeR-tIulH-OwvgOhCO3rZ3hY5LyzWS4haeBbJssvxpdTSRplgn-RPLfke3WeN1O5IMQg,,,"gorgeous lil sauna hidden in the forest, nice and private over looking the Barrow river! the coffee place beside it is nice, plenty of parking, really friendly owner 😊 || Lovely setting. Very relaxing. Great to have the new changing area. || Used to be 4 person capacity sauna which was perfect for a few friends to hang and chat but they renovated it and now it's a really tight over-crowded 8 person sauna, everyone we were there with (3 groups) was not happy and wasn't told about the new capacity. Fantastic sauna and I wish them the best but I'm pretty sure there gonna lose a lot of business now because they've lost there small personal sauna experience and turned into a communal sauna which I don't think is gonna fly long term. || This was my first time experiencing this sauna on a beautiful sunny day, and I must say—it’s a 10/10! I've only ever used leisure centre saunas before, so this felt like a truly authentic experience. The hostess was lovely and guided me through the entire process, which made me feel very welcome. I would highly recommend this sauna to anyone looking for a genuine and relaxing experience! || Excellent Sauna setup on the banks of the river barrow

Book online in advance

Parking and coffee dock nearby"
Heron Sauna,ChIJCf8AYWSzQkgR40SdhaiTQ3M,"The Quay, St. Mullin's, St Mullin's, Co. Carlow, Ireland",Carlow,52.4877458,-6.929182099999999,http://www.heronsauna.com/,,5.0,41.0,AcnlKN1sIj5aUGOCR7RXbhmGaIIcrHgFwK4-3ETlo6VuQo5I6J_vHV_2O5twnF7t0zhytpEBmIY3Ma67d2lBq3jPzSSK3VYXRs_tdeVZZOJc4B4EClaFJZFpWURyQiSE385eGAh7l4DfEyidEJNleoRpAqYyHSnXlj67hZDrjou3ZP6tBon58SViEY0U0RZ9qGpOnY8ZgKf8UnZtKIZWby1u7lYvDnaVsPPT6m3YsAphr-7aca94BN9HVr2aPG58njBEVgjidn3xgvOLi97iMrywUm8uc7tZukKtni4XSV2cE5LFVQ,,,"Had a great experience at Heron Sauna. Everything was clean, well-maintained, and thoughtfully organized. The atmosphere was relaxing, the temperature settings were perfect, and the staff were very friendly and welcoming. I left feeling refreshed and fully satisfied. Highly recommend this place for anyone looking to unwind and enjoy quality sauna time. || We absolutely loved our visit to Heron Sauna in St Mullins. The riverside setting on the calm Barrow is just perfect..stepping from the heat of the wood-fired sauna into the refreshing cold plunge felt incredible. Everything was so well thought out, from the cosy changing spaces to the relaxed atmosphere. Finishing up with a coffee by the river made the whole experience feel complete. Such a peaceful, restorative way to spend our Sunday morning...we’ll definitely be back! || An easy 5 star rating

Lovely location, excellent service, great setup.
Sauna is located close to the cafe, it’s very close to the river.

You can cold plunge beside the sauna or in the river

I can’t wait to return already. || I had a wonderful experience at Heron Sauna. We had an magical evening session as part of a Sleep Lab with Mulvarra house.
Fairy lights, fantastic scenery and clean, well kept facilities. There is a little coffee shop onsite too if you fancy a hot/cold drink afterwards. Felt amazing after a few dips in the plunge pool. Thanks so much to Lauren too who was super friendly. Will definitely be back! || Absolutely gorgeous spot for a sauna looking out over the Barrow River In St Mullin's and with a fabulous cafe right next door. Everything is spotless and plenty of changing rooms, plus a nice plunge pool and cold shower. And a very safe spot to swim in the river just opposite the sauna. Perfect sauna experience!"
The Sea Sauna,ChIJB-ntZ1sbZ0gR9AjAZ7yc6Pk,"Tower Bay Beach Car Park, Quay, Portrane, Co. Dublin, K36 RX92, Ireland",Carlow,53.4891458,-6.099067799999999,https://www.theseasauna.ie/,,4.8,193.0,AcnlKN2dk1CNtKxhaDGnfSps36uzS8dbBOh4WEmzPWfmYGwYrIoVx2IwA4xwUM-889hnByVLgvaHhIW_7mZpz_WVbF6PKehsc9R5h9UrSOFWSCjXUDxeA7KQVKBRALKSWs35dIzdf0Y5EG7jiufiv0dh8VOMy9d31rUyuCpIFM4in-NZp3BWmRass114puMQQQFu5bGPXBWjDST7XH-QlqkS15xhvxsGsNYQGffDs8SAn-bBBZr23RoaeB-FnuURWgLap4CJjxY8wbsSKbfEE1VWO_HFe73iAcrJIOdTZXrJ2dbOiY7udgZMI5slEKSBzXmOnqIuVJ9Y7UQ1pWRyIwuVPzQd1NLZTmsyWRyKnfUkv4Wk113YLZ90yTvawrT_B5DGNQJZF8jeRIn6JbbPSZwxSQyKRrSu-JLqVuQP7qs9LCTM_JVK8XzSjDHl44g1rg,,,"Visited Sauna Donabate on Sunday and honestly… magical. I went on my own and ended up having such a deeply emotional and grounding experience, especially in the ice bath. There was something incredibly powerful about this space, the heat, the sea air, and then surrendering to the cold. I left feeling lighter, clearer, and so grateful. Highly recommend to anyone—whether you come alone or with others. ✨ || What a great experience! The sauna itself offered beautiful views, and there were even cold water barrels outside for a refreshing dip. Just a heads-up, no phones are allowed inside.
The changing room is open to all, so definitely come prepared with your swimsuit under your clothes. Afterwards, there's a coffee truck right outside for drinks and snacks, which is super convenient."" || We went to the Sea Sauna for the first time today and would highly recommend it! Location is stunning, there’s a lovely cliff walk with gorgeous views,a quiet beach great for swimming and a llthe carriage truck that does great food and coffee!

The sea sauna set-up itself is great- a really clever use of what is a small space, looking forward to seeing it expanded in the future!

Robin, the staff member on-site was fantastic, super knowledgeable, approachable and friendly which was great for us as non-regular sauna users! She was really on-top of keeping the saunas, plunge barrels and showers clean and at the right temps!

The box sauna itself was really enjoyable, clean, spacious and at a consistent temp. The view is the best I’ve seen from a Dublin sauna! The showers and plunge barrels are well located, and although they can be busy we didn’t ever have to queue for more than 2 minutes for either.

The beach is a 3/4 minute walk away and is a lovely swim spot. There are a good few steps down and *lots* of seaweed on the shoreline but still, a fantastic place to go in between sauna sessions!

Lovely chill place to spend a Saturday morning/ afternoon and we will absolutely be back! || I had a wonderful experience at the sauna.
The staff were really friendly, especially Robin she was exceptionally kind and helpful. The atmosphere was relaxing. I can definitely recommend this place. || Fantastic place, really relaxing. Amazing views from the sauna. Owners keep them very clean and are super helpful, highly recommended."
Sea View Saunas,ChIJf5Xewos7Z0gRKdbiCAexXoM,"Bóthar an Teampaill, An Inse, Co. Contae na Mí, A92 A2P8, Ireland",Carlow,53.6869549,-6.2400085,https://www.seaviewsaunas.net/,083 150 4700,5.0,29.0,AcnlKN1JCfBaW1-PhYViVhYn4zXpAniw7NdfUkCPxk3VhOvtuRP17_aIBgMsU-S-6u2BxsREfAp3vOI_ucm5T9n1e4g87_AibHsKdn4wc8Yvn-INAjSNiMboA6_l0D0EP1jSn8tbopYphIdQ37pQSdMV3W9XqzKTcdKtem29UL02n39yPfD65cpPCFWnJKZYGqjgGfTmiT-SQtZeU1KSK2fPePSyg5l4fBP1PjNuHE36jupahwELJmvJ2exQA5IIDk_qdwHOZaRbrhTYXcTYE8AI25a5BSCyyeoJ7oS84ltJnw6BtA,,,"The views from the sauna were spectacular. An amazing experience. Well worth the trip 👌 || Seaview Sauna’s is best thing to come to laytown and Bettystown in a long time. To have this on our doorstep right beside the sea is a blessing. Sean is great to deal with and always so welcoming. Love coming down here || Visited here for the first time today. Sauna was perfect! Facilities really clean and owner was very welcoming. View from the sauna was amazing. Will definitely return again! || Wonderful barrel sauna by the coast in Laytown. Great setup and it's a lovely area with sea swimmers frequenting the beach and making use of the sauna. A great addition to the community promoting wellness culture. Recommend a visit. || Amazing evening sauna.  My skin was glowing, sea dipped 3 times and had the best sleep after. Very clean and the views are amazing. Will be a regular it’s such a boost to my health"
The Sea View Sauna Shroove,ChIJpVTw4rEfYEgRsyz52eUk57g,"The Sea View Sauna, Stroove, Shrove, Co. Donegal, Ireland",Carlow,55.2272116,-6.929078199999999,http://theseaviewsauna.ie/,07387 924802,4.9,99.0,AcnlKN2vYWJI8PZ358174RxfiPalfKjh42BME62dLjY0JsFEoNrCaSXKbeGaP0T9MjqBXZLCFBcvNLsVSez8oQSEFf_blYCGzWgSfomHz4KlJAzeayZW4VnVc5hbR_vdZ34Uex5e4N8NMfNdgcPaYFQNZd5otE_36gTtF3vE8GZHsu9xNlY6_7EejLM_lu-lVBJPOf6t9iIufc_5Ij1Vx7YeHlGvKrgvs03QOd3hc3mUd8RSQWmoOABnjYeq72JZ5j97iZNR12hJfXFLQN_YpTeX9eI--7lgIu6t02RA8dfiAY8Vow,,,"We had a great time at the sauna. The facilities were clean and well-maintained, and the whole process—from booking to using the sauna—was smooth and easy. The location is unbeatable, with a beautiful beach and clear water just steps away. A perfect way to relax and spend a Sunday afternoon. Highly recommend! || The sauna is well-maintained and perfectly heated. The surrounding landscape is absolutely stunning. I love going for a dip right after the heat. It’s incredibly refreshing. Highly recommended! || We had a great morning at Stroove beach, made even more special by our time in the Sauna and cold water.  Loved it as did my family. Darragh was a great host also.
Thank you. || Not our first time but great experience, easy booking, Martina couldn’t have been nicer and even let us stay on a few mins extra with no extra charge. Would highly recommend, looking forward to the next time already! || .. It is very convenient that there is a beach nearby, where after the sauna you can cool off in the ocean) There is a place where you can change clothes, after the sauna drink tea, sit at the table and watch the fur seals. They are frequent guests. Near the lighthouse and there is a trail where you can climb and see everything from the mountain where there is a more open ocean, beautiful waves and beautiful rocks. There are surfers here. Who wants to learn how to sing this place is suitable for them, for professionals this beach is small.
The minus is that there is no toilet in such a place"
The Sea View Sauna Culdaff,ChIJLzE22SqpikgRfpKC31GIbrs,"Knock, Culdaff, Co. Donegal, Ireland",Carlow,55.2917777,-7.1450957,http://theseaviewsauna.ie/,083 441 9841,5.0,65.0,AcnlKN1EXGubhBc1XrusvNBF62qqUkX7yQ8NLZWK-3TqjbXtfIkx3ule5eIDe-V0ryZBJceREZVvlyuCxWgEBK0cz5HmNEco3dTo_301lpi_zzADUI-QXpyoAw6MBMtoDQM9y90m3rNPY4E6m5Y_mn9cA78b8FidjbKyE8Z-oIGIsfDdmApNs5OzgPAL9BDfnY7sVoJ-h_hvrn-1zf161b5LoyF6NzegrnVl3pCPzJnz6nx6EA87ZnaKvgEuQMsPdiWzesRIlfV9S3CYqmIKZFe6CNCm5z-D66kPUru91O-QWmQeEw,,,"Fantastic experience..when we went for a swim and walked upto the sauna we were met and friendly greated.The sauna was all ready for us.We loved the gorgeous view and relaxing experience. Cappuccinos after from the coffee van across the road. Altogether a great time. Thank you.❤️ || I visited the Sea View Sauna in Culdaff on Sunday. I was booked onto a shared session and had great fun with the others who attended. It was the perfect temperature and being able to go for a dip in the sea in between sessions was so invigorating. Great experience, would recommend! || Such a beautiful place for a healthy meet up with friends- the sauna is always tended to - you definitely get a warm Donegal welcome! - sweat it all out and then plunge into the Wild Atlantic healing waters of Culdaff - there's also an excellent coffee van at the car park or go into the Black Heart Cafe in the village for delicious home made breakfasts falafels and all sorts of cakes - no better way to heal yourself than regular saunas here 🌊💙 || Had a lovely time. The sauna is clean and the host is a doll and keeps the fire well stocked up.  She was always on hand to answer the many questions we had as new comers.  Everyone using the Sauna was full of chat and really friendly.  Have used the sauna two weeks in a row now and couldn't be happier with the reception.  Top marks! || Really enjoyed the sauna, beautiful view, clean and perfect temperature!"
The Boat Yard Sauna,ChIJp2l3mKuxZ0gRqZi1-LYxLyo,"Wicklow Harbour, Corporation Murragh, Wicklow, Ireland",Carlow,52.98137149999999,-6.0379438,https://linktr.ee/theboatyardsauna,087 718 4176,5.0,40.0,AcnlKN0cuebHw_FBDJSAjYPTPAagy0aZkZvd0HkhKRClwcC7zfM4rB-rWzyAHIEf4HFAFQQVY9EluucLYvn05utL0Z7nGPgUTdkPP6pNcmKVivhpOV8QYaosjItITSZy2P4OKgE6mgfZN6zk_-LweXLmncLqN1If8aMpmQWQ6Y-uUIwGainvN8tv2DUQW7yGaBKxoBRs-fheXS2or0GMPdughNgq7B0QgzIHrCOh47M7BClou1IuB77DLRO5CYqY-ZjDJlgIcTNPxiQBixk3842DuyTTiyH7jb3jFdnQCHTR8YXHd9l5EaEjybW1N7UNvIm41q70R0r1k3fDeABLs4p_izzN8CXSWgWcW01i3L_C8EBVIH2B4hL2ycD1b-L6Aity8wwwvpucjGMvyh1OAWVjUoyhQR1PPVuYQZwAQCIkDrU,,,"My Weekly Reset – Absolute Gem by the Sea
The Boat Yard Sauna is hands down one of my favourite places. I go at least once a week and honestly, I’d go more if I could. The moment you step in, everything slows down. Sitting in the heat, looking out at the sea - it’s pure magic. That view alone is worth it.

The atmosphere is always calm and welcoming. The team are great, friendly, easygoing, and they clearly care about keeping the place clean and running well. It’s spotless every time.

What I really love is the people you meet. There’s something about sitting in a sauna, dripping sweat, that strips away pretense. Everyone’s just there to relax, unwind, and reset. It’s peaceful, grounding, and oddly social in the best way.

If you’re thinking about it - just go. You won’t regret it. || Such a lovely experience at the Boat Yard this evening. The facilities are top notch and the place is spotless. The sauna was the perfect temperature and the essence was lovely. We were very well looked after by a girl called Izzy :) || Warm welcome and introduction to the boat yard sauna from Callum. Loved the private sauna, changing areas and showers. The place was so clean and colourful with all the plants and scrubs. Like a spa experience. Sea access was easy too. Truthfully my best ever experience of sauna and sea. || This is one of the best places I have been for a sauna .

Magnificent views of the sea where it’s a short stroll for a dip

Table and bench to sit down and have a coffee before or after the sauna .

They have two showers 🚿 two ice cold fresh running water . Drinking filtered water .
A dry area to hang your dry robe.

Sauna hats are provided  to protect your hair .

Dave who own the business is very friendly and helpful. His sister is extremely friendly and welcoming.

I would highly recommend to try out this sauna experience.

If you buy 10 you get one free 😁 || Unbelievable experience! The team down there really know their stuff and both saunas are spotless. I’ve been to different saunas around the Dublin/Wicklow area, but the boat yard stands on its own with regard to overall experience!"
Seawater Saunas,ChIJUcznI5GpZ0gRV_XFwYvknHQ,"Strand Rd, Bray, Co. Wicklow, A98 N8N3, Ireland",Carlow,53.2035437,-6.0981467,https://www.seawatersaunas.ie/,083 460 9887,4.8,69.0,AcnlKN1UKuTaWG5un7j_LM887beM4ZG1DVWTt8JtRCV2Eii2MBHndWipw0hDGtvYpTAqkbe7tvSG2JiEvsFkW9o-gP6ik1oXpTAPNghMU1uAqSgKTQVmUtY--dH25ZWxBDgSd92XyUa4GiM9MZTPqw7GhXGTVBWWqkf36yJFk7fQOsVDnXXtpghIPmZNrrmDMf2jr9zoVlQ8nJO2P-KHXqlUVjc0mp00yt0OKmK2Xu_zncG4thyEpxEeq55zGd7RlzPRYwERcXXTQCkPX07UevVFGV3Gd9KYCewLYzn0EFZPFWmK7Q,,,"I live nearby so I thought I’d stop in to catch the sunrise in a sauna before working from home. And oh my gosh am I happy I did!! The place itself is beautiful and spotless clean. Catching the sunrise over the sea while warming up was such a peaceful way to start the day. Everything felt calm, clean, and thoughtfully set up. I’ll definitely be back in the very near future!! What a great way to start the day. || This place is Magic.

We had an amazing morning in Seawater saunas Bray. This place is such a gem. We are visiting Ireland for a week and my in-laws organised this as a special treat. And what a treat it was. The place is spotless, 3 saunas with unbeatable vieuws(we were there for sunrise), lots of icebaths and a jacuzzi.

We have been to a lot of saunas but this one is by far the most luxureous one. More like a spa experience! Incredible value for money. || A charmingly peaceful place, with absolute discretion. Every sauna is unique and has a sea view. It is clean and has sufficient infrastructure. After the fantastic experience, you can immediately sit down next door for a good coffee or a pleasant lunch. I recommend the unforgettable experience for couples—contemplating the sea from the wooden hot tub is a must for everyone. || Absolutely stunning views and great vibes but unfortunately it just doesn’t always feel clean. I’ve been here a couple of times and it’s been hit and miss. The last time I was here I couldn’t see my hands in the hot tub because it was so foggy. The place felt like it needed a good clean and power hose …. Won’t be returning.

There are many other saunas I would visit before here 🫠 || What a great place! Such a great vibe, 3 types of sauna (brilliant to have a quiet sauna as well) and the view is stunning! The cold plunges could be colder for my taste but it's probably due to the heatwave."
