name,place_id,city,county,category,address,website,phone,rating,reviews_count,photo_ref,heat_source,cold_plunge,outdoor,private_rooms
The Outcast Sauna,ChIJ7SdKugoNZ0gR_KdycTfbgMY,Dublin 7,Dublin,Leisure & Fitness,"55A Prussia St, Grangegorman, Dublin 7, D07 HXW6, Ireland",https://outcastssauna.ie/,,5.0,1046.0,ATCDNfUg0Fnw6bIsM6XyqUUcmJ2x8FuW62rpvVnv6kk9hqdXm9SrSiZ56_OXF7PsS1gbFR0jsyXZx3q7dpZJNGqSfdYSzAegGJP8lGHVver6-FDeLcxYqUr2CXuE6NBZ9woZvh0TMBl0sY9eunyh4MPdOWk-JLZ504YSbdt_BBbccyqGbafO76x_cY_gckB5iB-v3thIeIfAwZwTGKMHcJkvyn6ulc7pDKxHkJTsgxF6vHqJlFrW6VIJe0105lvywtdDLHqAGlL5RUPJqzEY5H_65jIIeQfaQvmw5HOLgcgBGRPEmg,,False,True,False
The Wood Fired Sauna,ChIJryKHiVsZZ0gRhEW9rvJvw2g,Co. Dublin,Cavan,Leisure & Fitness,"North Beach Tourist Caravan & Motor Home Park, Rush, Co. Dublin, K56 HN63, Ireland",https://www.thewoodfiredsauna.ie/,,5.0,402.0,ATCDNfWTpTg9vwxszEOaJI9AqStheW1UopAaOud3S-3ItU9YzEdPg4NYRfKMA4y9Q7Smlqs04D0PD4Qr59zkM7kOLsOAckRNH_9OAps4RooCs6pHNBFhrdtNzkqn8RwkUlIOaXNr1nYPU1254oW5pn_-N4v-SrycmgDfoAw9vEqk489Xb9FYWnHu8PTVpm5xyjzjYd6PkVrbDOO3bV0wg7CtTWf8-RAlMfkV3RPje9Ias2F-e85X7_uEn0XiYPLs47Jb_FbDjETBQ7MrKO9Diy1eifehhb5wwwDhz7Yeq7F1NVU6MvK5h4J1NyhTdnOuMJDt1BHZnHI8kIYLEoqx16mWRAG7dq1u12AJF12n_ygqZdIIeNInpSMc3Av3Z_1iBENQMBkP8JpOeVFNAouCDvR-1Y7F6PangO-70lTNGH-WLmk,Wood,True,False,True
Treehouse Sauna,ChIJJZdqNQB_Z0gRPgZmaBGdWSQ,Naas,Cavan,Leisure & Fitness,"LIFFEYVALE NURSERIES, Osberstown, Naas, Co. Kildare, W91 F2N0, Ireland",https://www.treehousesauna.com/,,5.0,389.0,ATCDNfWkc_i21Hn9TF3JoSQzKLvrMI47E4Q4wHarYPZLUw7rLORQpcbvfYT_XfnGSVgP0aClDp9MVchv0UUnXLQbbDnaFaqypjxiJDCXPSaAkuxmMnc8XP5XleAg_TgzLVFFm3cpmQFp-OwHoyWxj0ngAgUaBv2yCD--eLnl-DuN77rx-XNzE1Cm_qOqBq3KbOo2ncz_Qiuyz5e550qKAQQR9r682aLVFOvBfDK3XjBy3tJ_8Ohav88Vy5yhMYvmTS78stTi8s2tNrcxwofzpOKW2ACY_8jjWDFBAhY-PuOmIcl1sARt_JU7gWsl66fUHoCwDmNZ7aDHdBvFmtYDv2AwSx6SxiM9ZC0fruOU45Bv6aXL3C9hkg8UcXoYdtPbvg2ty5cDerQI54GMqMejyn0wC8MojITgFQbH3ICJ8mUp0Qd21_BqkoJ3TU96KMK344z8,Wood,True,False,False
Fad Saoil Saunas Dublin,ChIJbQCsUQANZ0gRT4WX7xtbwkA,Dublin 6,Dublin,Leisure & Fitness,"Fad Saoil Saunas, Ardee Rd, Rathmines, Dublin 6, D06 FK18, Ireland",https://fadsaoilsaunas.com/rathmines-sauna/,087 127 5023,5.0,273.0,ATCDNfWrg3-Z7tUxfijkCtUN4C2_myxuRa287lUOk2XSYF-V948oaX4IQQ-aJVTs55K-9Yyi_kGDNe3aBklDxY7XvhyndBlBjBgZEdbZjvUaMN2bcHuo-9g1B-W-eG8ixnTO7hJi8CC-1K45UnMy5gFX7yid1PY6-GjyFJysqZmQs8p-qDbEKb3654OCpuZAZ0BwP_XTkt6cBl6KSjFXsEQTL84zWaaJdjrcWQfx4aGd6H1JjLz0zEjjEC30lHzIKkaaxdL6VxYGpblGY1NGhbGnic4L6occrZRu3SNt1eqqTXrqyA,,True,False,True
Saltee Sauna,ChIJv7nkc2ajQkgRIsuQ0I-Rsu4,Wexford,Carlow,Leisure & Fitness,"Crossfarnoge, Kilmore Quay, Co. Wexford, Y35 EHC2, Ireland",http://www.salteesauna.ie/,,5.0,267.0,ATCDNfUbq7qX-uX05WoKqgLzTxAEgffCBDHPrHGVa5JaiwWbPbfO9eoeyboK85kLIO81VUYEBWys1Gro_Uptcr4sa4vt2pMRZ0QTk_9tB60F7Lw97e0Sif-5XZUofxsMLyDMxPUC28ABQ8bH1KIETeYj_uRORN3wPqk09yiEmzwQmgt6m6tDP7DfEJStXAI0oCMalgThciy2NMsaBHEoDkhw_k8irIZ7rVynzVZTyCqm6yj9p2DMHEtveVePHNAXURbNHPUhYYRFwFvg93nPVAjTi7v7hY248uIpCJ7G_Moxs-7D-A,,False,True,False
The Blaze Sauna,ChIJ_4JbbwBzZ0gRuRxb6FB4bPo,Dublin,Dublin,Leisure & Fitness,"Kirkfield Cottages, Clonsilla Rd, Blanchardstown, Dublin, 15, Ireland",http://theblazesauna.com/,086 841 6516,5.0,201.0,ATCDNfVGBtliQEgrEkRK9nNNMCW0X-VU9x55AWlXhDffHCQbXzmCto5e24ufuB_EKorPR2SokmFHCmggSHgSSrhPLjidF0ngzRJIL37hGcu9LMSLs5iQnMQV-s2XdPeXO7IiYzO-lopoXuJN_Hvk81b56iKyYfBycxKv-icPzVWL6dRHFl1yssXfhyfUywyobirP5nKtitZOg0_5Edn5ZBWZFjEbX_GAXeYBIHXQVUBzU959V--rECUMb5uwoAmli_g_TMOQkWUxPXXVESogrZ4vlkf3Cfm-uRY2q_r0pW17KmAsPA,,True,False,False
The Sauna Snugg | Garrylucas Beach | Cork,ChIJQ77hre1hREgRuVk5wSRp_K0,Garrettstown,Cork,Leisure & Fitness,"Garrylucas Beach, Garrettstown, Co. Cork, Ireland",http://www.thesaunasnugg.com/,089 610 3817,5.0,140.0,ATCDNfWlUXCX1kdeYZPinavTnbZ1Rxetro0jebhbHnmQP32B7MLeV9foBAuV3WSgPDgJPtV4pndgwyJzKyIylDKqxwtTFGhSlIyFnCfBZJlGwBXTXWuf-w7gcP4tyI-HVDUWB9_Depu6pGkuUJhCN7oj1PCgqw9QxA73Qp0OxeBXK7sZRKzcrZIm6StLVEWOGdwee7AjzkF1xCuy1kdBJCDlOgRudNX_EUIFmAZbvqMDZDRCHn0nDMo98IKwV-OQgQLUcnkohWaZBqw7_zhhq392BuqkuaNc3fS2ADtyX-wPRjYRuQ,,False,False,False
Saunas with Soul Carlingford,ChIJvWnvZ2vXYEgRNC-zGjE2rQY,Co. Louth,Cavan,Leisure & Fitness,"Irish Folklore Park, Ghan Rd, Liberties Of Carlingford, Carlingford, Co. Louth, A91 X820, Ireland",https://www.saunaswithsoul.ie/,087 271 6323,5.0,136.0,ATCDNfW_wuMCuv0XehM_qQ5Jn8ubbAPzQANNoCRX42-PP0ctxjZG727piZDkhh-TZin0x1scfIhWHrSv34MLwX1YdWNl0N4Hgr_4yJjZJmhr1b8hqDLmA5sJcPxRYfun49fP9NfHSgnlY0EScRW3HgpB7oruxMcxnxxcOau6713GizBxdXqD6qqYjxzRV-kSebWnYZl9gEljbFmjfEwdnsVwzT-hlj8vPisBLyluCy9pXBZTChmvmHfuSUSCJ_7gQ0cm5j-YY3qdpyHsUvlmP1bK6TArcEhmhZE1noQVCJF0OM2qVA,,True,False,False
Sásta Saunas,ChIJTf6wECVxZ0gRMyDOU5nGlgk,Co. Kildare,Kildare,Leisure & Fitness,"MU Barnhall R.F.C, Parsonstown, Leixlip, Co. Kildare, W23 V56N, Ireland",https://www.sastasaunas.ie/,085 171 1517,5.0,128.0,ATCDNfW9k-vfHvEtGCWpPnc33mVYUg781pHDDuYQTY4Jal_ngfPcz7RTAubHnm7jhVYg1OLozAUUu5FDz8LvSzv8a9IUuMLacTJe0dtRC5_bRwrkUxFkpni3lkazgzz9dKekOxufaOpjejhPb5U575DbtOQV6k8PhA4q5_D3ZZXKD5kBni9UaZX44KNQ_B9Ch7GfS8Svth3e4YCynnqOweVhef4o2NdL64nThx9zZ7Vfrqb4xmWbV-F-ac0lbiixolayi_3_IRrD1LsaFVT9sxOMX-U2hNfvPCaPdI46v6lRbJkyog,,False,False,False
Urban Sauna Co,ChIJDXdZjwxdZ0gRXQN4Xiyl3HA,Navan,Cavan,Leisure & Fitness,"MDL Grounds, Trim Rd, Philpotstown, Navan, Co. Meath, C15 AK5V, Ireland",https://www.urbansaunaco.com/,085 844 5737,5.0,111.0,ATCDNfWP_hNMjsXQrJqPqCdDjYlXKgT3iAbBNEOJ9sddPzmHsheb0z7__4SRxTwIh2pvajY0HPgNtdFgEes9Wq7-u1-DT-04TuPBwISKGfs5vg4Xehm7_9HXSM83U_7PxAdCGAih-gxM3sBikSNg9hvbJVn6yQzTx9rH1mqTh09fVqwj1NgZhofuDO0Nx1v9V65bbHvIj_Ipw_ri8t1XkDdw40dmoKsyM_BUilb7MExZUExTj84IcAYkUPOieUuZL474ipSM8YqbZjn-HnjpAD2SXqcQ8Lnp5JqLHhoEKqRvrsB3cw,,True,False,False
