name,place_id,city,county,address,website,phone,rating,reviews,photo_ref,heat_source,cold_plunge,dog_friendly,showers,changing_facilities,sea_view,opening_hours
An Bosca Te - Banagher Sauna,ChIJe1XleVNZXEgR8dUZ_RhItTA,Co. Offaly,Offaly,"The Marina, Curraghavarna And Portavolla, Banagher, Co. Offaly, R42 WY65, Ireland",https://calendly.com/banaghersauna?fbclid=IwAR1lsQo5edfuVgyds5lE32r1BHwX0qYHGaq58N99a4R-rMgjV132YbomJnU,085 173 5204,5.0,7,ATCDNfUWqJiaCoNZyEuLBGmaXHnCm9D1HkOhYQPjJUVU3qEb4dGt8f0CT5dIHhWYHA6DuQjdSp8cZbfIDWugaGQYwFnOi207TVrVh0bwTI74J6yeu8fnA5feNs55ai4SR8HAaPsk0aRslPAejLC8PjKCmV-Rh5jtBOzjighRsw0970s0B3yriJCmfr_i2uKcwqmrBRlx9WBdxvs-e1wNu1pgD64osOZiQcLfw-JnJT1ML9g1khdGqs8dPrM3tulMVvgyEeOb64Ia7z-2KAZ-ZFMN87tjKAW36n9hfXzB8zm6OQf71g,not listed,no,no,no,not listed,no,Monday: 10:00 AM – 4:00 PM|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 5:00 – 8:00 PM|Saturday: 10:00 AM – 4:00 PM|Sunday: 10:00 AM – 4:00 PM
An Ghrian Sauna,ChIJoY28fqkxZ0gR1OHLPnz9X6c,Co. Louth,Louth,"An Grianan, Newtown, Termonfeckin, Co. Louth, A92 D624, Ireland",https://www.anghriansauna.ie/,086 335 3077,4.9,38,ATCDNfVi6indsWlahIhChzxhF6xapTuJdhXvVlv68egcrzkL8c1OwHOfDV7rJCtCv6agYWuHgG0QyuLsCh2MOW6ATcvqdOoR7yS3xHNdKmj3rITHNPuVSgS7pTII71LZTQtpMrpZ8b9sHUA9EUAbQkwGv1UXVvQ3QNBu96V6nORIp1Lg_2SeQay_IcbQiDbAzpQBflz8S6MEgYSoshDoTD-rB_5sswMJRx311adZ814JwR48GuZzAjI4pV-Fx7pLYneey0RMtEM5wDLoPR46wQZt3lbzVYqsN2n_hRM944lilAIakw,wood,yes,no,no,yes,no,Monday: 6:00 – 9:00 PM|Tuesday: 6:00 – 9:00 PM|Wednesday: Closed|Thursday: 6:00 – 10:00 PM|Friday: 6:00 – 9:00 PM|Saturday: 10:00 AM – 8:00 PM|Sunday: 10:00 AM – 8:00 PM
Anam Sauna,ChIJ4Z3VruaDXUgRRSJVqsWlt_8,Co. Kildare,Kildare,"Rathangan Industrial Estate, Rathangan Demesne, Rathangan, Co. Kildare, R51 P274, Ireland",https://anam-sauna.ie/,087 433 9062,5.0,38,ATCDNfXyUSY1se5X-LDlo0Yy6SwbwNeWCUmy6u_JfEXYK0kM8rew-TaR3L3UEoxo419zcj7LvzF8XTRwDJUY_cVLS3UZFjSX0YiK6hj6fjY-lDAT_b4u5FDRBU_EwF6kiZvMvMEqGUI6kCfvbWF6YBZtPqRMfnCwAbf-NLagIUeMZCYjHsP3QcPnrL_A-LKSLRLGGg6LPxETEUio7rZv_EzNqTA7Q54TUQ21aID0FkXcBGd-SCptda1T-JTQxM-sJ0A9zAsnrH7KB-GS5Op5AoNBJrdS_5FbLJUbvUwdsLcPnTiiCw,not listed,yes,no,no,not listed,no,Monday: 4:00 – 10:00 PM|Tuesday: 4:00 – 10:00 PM|Wednesday: 4:00 – 10:00 PM|Thursday: 4:00 – 10:00 PM|Friday: 11:00 AM – 10:00 PM|Saturday: 8:00 AM – 10:00 PM|Sunday: 8:00 AM – 10:00 PM
"Aquasun - Hot Tubs, Saunas & Endless Pool Store",ChIJUyTdAi-zYUgR6NFtDyRavj8,Pennybridge Business Park,Northern Ireland,"Unit 6, Pennybridge Business Park, Ballymena BT42 3HB, UK",https://www.aquasun.co.uk/,028 2565 9123,4.8,42,ATCDNfVDFqOxWYDaORqLqfWzi_AJcq7pF1MuvLcOkSADhiyCA6RiSDBlOOXFUapZGVN74N4f53ar3UQn_2gPyHBPZh8eWpSx4fE4r9V6DKKIvAHY_oNdUNWSkXEcUDW45i1-CsGQ-aIBqPcufSfimDIZ6Aaiaq1yn6LJygvZBb40ulWnW9VWOU0cI0H6KaZ8akkzy6lA-qsGxFuleNsCnnnIWAqr4hUGEkORNmR3cWDCG7Mj7Q-4GzNNV5qDD9Axb-11jinqC6mmjMBaGMTLRE675OGE3GSO4N29cQUmzvDphXHvyw,infrared,no,no,no,not listed,no,Monday: 9:00 AM – 5:00 PM|Tuesday: 9:00 AM – 5:00 PM|Wednesday: 9:00 AM – 5:00 PM|Thursday: 9:00 AM – 5:00 PM|Friday: 9:00 AM – 5:00 PM|Saturday: 10:00 AM – 3:00 PM|Sunday: Closed
Atlanticway Sauna,ChIJHfIrQkiDREgRpwJ8eRLqmBg,Ringaskiddy,Cork,"DePuy Synthes, stop 245471, Ringaskiddy, Co. Cork, Ireland",https://atlanticwaysauna.as.me/schedule/b3ea39ce,,4.6,159,ATCDNfX1OyXSCp9pA9YIwaYp5H8L2jsh_akrEiMkyD0beK13Wu6tvMFDK1-YO7Z9gZaLjktbPOrSvMGFqCxyiSi30XLrw5Cte0NlIB5TSoY3wwLZ4UekSvx02YZFCFij_MxsvitzPQ155OvrA-5Ahg-4lnBPwJ-Ar4W-bvXDBhO343U9pnxse1l8L-I-s3Cm4DG1T-_t591DXCyTONraqI6yluQHQRZHjgLcmT5ZQL4OsMHT8fZYUV5JG-qbebKc6KqneYhDyWAEqMVbxeNDUnJwe2Y2eJmUylgQ6sGLpo_KSziz2tZqrgUHUZ5a9JOf7zSNIuE9SqwR3Kvh7VfDZN--9Lu6PYKzOwUgXj-P-tWu_TgWnf1J5bUOp5z9a395sHWPGA5gp3PWfLt6S_7vLyG_S0vkk9iQQE_PsetT3gjpiAXdRQ,not listed,no,no,no,not listed,yes,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: Closed|Sunday: 9:00 AM – 3:00 PM
Awaken Saunas,ChIJoTC31JuJYEgRt2HL0MhjnEw,55 Killyharry Rd,Northern Ireland,"55 Killyharry Rd, Dungannon BT70 3BG, UK",https://awakensaunas.com/,07782 293445,5.0,40,ATCDNfWGfeUEwZXfrS2ALbnCds7PGmY9dFCJPESe7XILrYCcZILtbbANryuu8FExqfpdcbLlX7ji3Tylu01b_U9_lpJiO9yHOavCP4-ud7xloiHvOHfBC-pp3_DHMQigQZx0R7Qh10yARAy65iBJGQ-f3negb80SVt6uR-iO1i71FeorGzf8N4Orh_XHxdm4NxbMyCj5ULeqGzd-cZOT0VW2fLYPr5ZcwfECJytCT2yQ7dhXbPeM6wWcO6PxdCfnx55JH9OGFFEa30Ynl7kxRTHEJkeg9fRnzuJMGv71hspTY9gDi1IAhO0yIli3tgucclFD0I4nAcjV8pKibbYEQyV7WdjbMPWynV198JAMYaiPOkXmkBzGOWRKHjTUvuNpGtF3v6BGBf806maB5i1ytg6IkjMy-povuQ4r9fGi3lGSUAZtkrbO,wood,no,no,no,not listed,no,
Axe Club Glendalough (Sauna and Axe Throwing),ChIJu7lXKJa9Z0gRIH_ZAE7wfNU,Wicklow,Wicklow,"Axe Club, Brockagh, Glendalough, Co. Wicklow, A67 K3K6, Ireland",https://www.axeclub.ie/,(01) 517 0199,5.0,38,ATCDNfW5vunZsCZ56FneLpUsObZGpK5gSJ5S7eI7f03vL5CNZLnJ9qnXKoBe5fmQ5VidgC1cWFovETXq7Ue6BGP_yFk0cIv-dRJAIfYZ933kMWJa7b58CVSt1qYSeOMh8jaZdr7EPeXmjaxzkweOzC105TK_25eYQywuMmAbtpZ-bZy8Y2swchOwDZJjDB_zoOEnOF8aQZwqADNzBKFHLikPknzg2Ju_HPMeQ7bA0cN88D-gs2IQIu_7MB9ZzOOyGg9hvc-T1eoduXUXTHJuXYsc9DgcwYNYzGQzFkUaYVOZzi6hIg,not listed,yes,no,no,not listed,no,
Barrow Sauna,ChIJWw8fdwAJXUgR5S3BiRlmrsE,Boleybeg,Laois,"4GFX+FV, Glenbarrow, Boleybeg, Co. Laois, Ireland",https://www.instagram.com/barrowsauna?igsh=MXRoMG5zMjFmdmhoNg==,,5.0,6,ATCDNfW4Pt8IJhUZJkcPewWxvm4RT5V2zxvJxYCrFJUCUBfzyhY2CGvX0vHw7MfytrBXw9P5TBO9ucWSKoPRKKek8dvcLIERkVD6Pnlu4p3Ul1VJTEV_YzaxsaV3pt7hep-HUkkyxIFHw2sIjFl_4fhfzuLVGVgI9RZ4rTBfHdn0nGzToh82Trxq5SLE91t-JqcGNmVhWGDC8bZFNNBZpIO_mHBKQZUjXVStNSGFES0WZbWeoNz4COoCmjrKRRfqwJab0nWfs2X6Pg4KP-TzNrXkSTd0lwpUb5khKy_28wI1_-_REN3q0ZsQBOpHSwutfVoWVO_av4JOfNclqK2eR23JeA-MpXsjx4A74KhNNfO74JmDo6rExwVnVjfmVPdUdlMubwZyZm9fE_Lf2u-5NEWM_oajnHxox3PzzmkMdwJs970Co5zjp4xu7Nb5-oCQQ8mY,not listed,no,no,no,not listed,no,
Birchwood Sauna,ChIJt3eKkWiFXEgRbzSi623gunA,Mountshannon,Clare,"Mountshannon Harbour, Mountshannon, Co. Clare, Ireland",https://www.instagram.com/birchwoodsauna?igsh=MWFnZWwzM2sxN2NhYQ==,085 230 2387,5.0,8,ATCDNfXks_6aHK9uVjrQy4_2nLtXzcizOxj7_uQIMLFbkVSGdFxSepFbm0J8lWhPq_Aq9IZURZzVOuInWoqsCK1zlCjf87hsSzw3NW3x2WwwTjJ5Q7wtkrVgmTF9jsCn0JnN393XX-q-4HpLigDWiKbpVjRxdTNJ0ww4IA8ui0S8KvbFaFgBkYnXwdoeyjmeN71ExIQT96J_k1pGffGJrEM0bahc8sdnGs4GbE5Xqxbk01KWiYs9S6bP7p-7iPZFzVr5LEf3AUoUeliuXsOf-zZMKonQuh55cylj7ocXIJOulYen3A,wood,no,no,no,not listed,no,
Blaze It Sauna,ChIJlYjnmfnhXkgR7_kiGEtBKL8,Sligo,Sligo,"Mullaghmore Pier, Kilkilloge, Mullaghmore, Co. Sligo, F91 AP8H, Ireland",https://blazeitsauna.simplybook.it/v2/#?fbclid=PAAab2Ns7W8oEiVMOzOlT5fnLYfB-itO5T_Fq4kfxK2pRpXQzpj2sCB2_8B8Q_aem_ARL7jfnx5x2lUxSxnvcC49fLXLrPznj74iBvatD5o6AVUaiqwSWj_N56EDsXPqz1qis,089 239 7243,5.0,51,ATCDNfXsbDim8ownfkmQihNJLUgGPHyw9irZnexflrRf211nSpv1wd3IEcwqB-rFqBvalmNFDAIfuB-uQAAfcmkdo9WzKK4tS8U4WmhQ9vpsQEd2rsLxwVzVVmyL5O_GiNuhukyCYtOROmo_fwqbtE8hHEZ1UDYdW3SP6v8RrLSIaoSCfwKJ30-qLNaGzKqcukjpFDk_RnmR-8GRmmzwQMT5rSuiL5icC51HaopMCMFOZP_I9uYUGd-P1-WvL4ndtoayOBTp9rVSalcA6iYnDragIj-wje-nklrG5Lpf7KEIUDVh7A,not listed,no,no,no,not listed,no,Monday: 5:30 – 9:30 PM|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 5:00 – 9:30 PM|Saturday: 10:30 AM – 6:00 PM|Sunday: 10:30 AM – 6:00 PM
